,Unnamed: 0,가게이름,카테고리,위치,평점,리뷰수,위도,경도
152,153,이에나파이 본점,제과 | 베이커리,서울 강남구 도산대로50길 9 102호,4.3,9,37.5217122,127.0376255
153,155,생활맥주 논현영동시장점,호프 | 요리주점,서울 강남구 강남대로122길 21,3.0,68,37.5083309,127.024687
154,156,디저트39 신사역점,디저트카페,서울 강남구 강남대로146길 25 1층,5.0,7,37.515237,127.0221334
155,157,디저트39 학동역점,디저트카페,서울 강남구 학동로 208 오창빌딩 1층,1.7,20,37.5140368,127.0319744
156,158,이조명과,제과 | 베이커리,서울 강남구 강남대로124길 39 1층,3.1,8,37.50964039999999,127.0255975
157,159,경성꽈배기 논현점,제과 | 베이커리,서울 강남구 강남대로124길 10 1층,4.3,7,37.5088173,127.0234738
158,160,황제찹쌀꽈배기,제과 | 베이커리,서울 강남구 학동로4길 32,4.7,3,37.509398,127.0236246
159,161,ABCD,카페,서울 강남구 봉은사로 123 1층,5.0,3,37.5055173,127.0271316
160,162,자미당논현점,패스트푸드,서울 강남구 학동로20길 16,5.0,4,37.5120878,127.0282363
161,164,랜디스도넛 신사가로수길점,도넛,서울 강남구 도산대로15길 16,3.5,284,37.5193161,127.0239954
162,165,올드페리도넛 가로수길점,도넛,서울 강남구 강남대로160길 35-5 코발트 지하1층~2층,3.9,215,37.5203438,127.0212217
163,166,던킨 강남대로점,도넛,서울 서초구 강남대로 455,2.4,28,37.5028098,127.0245281
164,167,도넛킨더가든,도넛,서울 강남구 강남대로162길 18,4.0,1,37.519888,127.0200399
165,169,던킨 역삼GS타워점,도넛,서울 강남구 논현로 508 GS강남타워,1.0,1,37.5018187,127.0370947
166,170,노티드 신사 옐로우바스켓 팝업,제과 | 베이커리,서울 강남구 압구정로10길 30-1 지하1층,4.7,157,37.52159,127.0217745
167,171,생활맥주 잠원점,호프 | 요리주점,서울 서초구 신반포로47길 82,5.0,1,37.5139507,127.0189151
168,172,케익오페라,제과 | 베이커리,서울 서초구 주흥길 8 1층,4.3,13,37.5041583,127.0208981
169,173,노티드 강남카카오,디저트카페,서울 서초구 강남대로 429 동일빌딩 3층 나호,3.6,668,37.5007556,127.0257605
170,174,생활맥주 역삼점,호프 | 요리주점,서울 강남구 언주로93길 34,2.8,16,37.5032468,127.0392628
171,175,노티드 청담,디저트카페,서울 강남구 도산대로53길 15 1층,3.8,2135,37.5241508,127.0382334
172,176,던킨 CF강남스퀘어점,도넛,서울 강남구 테헤란로1길 10 세경빌딩 1층,4.1,20,37.4989197,127.0282124
173,178,생활맥주 역삼역4번출구점,호프 | 요리주점,서울 강남구 테헤란로25길 9 1층,0.0,8,37.5012627,127.0349543
174,179,자미당 압구정점,제과 | 베이커리,서울 강남구 논현로 851 1층 1호,4.7,0,37.5248573,127.0280062
175,180,도노스튜디오 역삼점,도넛,서울 강남구 테헤란로 119 1층,0.0,0,37.4992721,127.0306382
176,181,세모넛,도넛,서울 강남구 선릉로155길 13,5.0,25,37.5252951,127.0385592
177,182,던킨 잠원점,도넛,서울 서초구 잠원로 204,2.6,2,37.5190395,127.014448
178,183,조선델리 더 부티크,제과 | 베이커리,서울 강남구 테헤란로 231 조선팰리스 24층,5.0,50,37.5030308,127.0416148
179,184,크리스피크림도넛 강남역지하쇼핑센터점,,서울 강남구 강남대로 지하 396 지하1층 북-6호,4.0,6,37.4872446,127.0327813
180,185,던킨 라이브강남점,도넛,서울 서초구 강남대로 373 홍우빌딩 1층,3.5,233,37.4959332,127.0280222
181,186,크리스피크림도넛 강남역점,도넛,서울 강남구 강남대로 376 8258빌딩 지하1층,4.0,31,37.4964782,127.0286919
182,187,올드페리도넛 잠원점,도넛,서울 서초구 잠원로 112 1층,5.0,18,37.5137364,127.0074005
183,188,던킨 선릉역점,도넛,서울 강남구 테헤란로 422 KT선릉타워 지상1층,3.1,50,37.505282,127.0528475
184,189,못난이꽈배기 압구정점,도넛,서울 강남구 압구정로 214 현대종합상가빌딩 1층 101호,2.8,20,0,0
185,190,던킨 DD SPC스퀘어점,도넛,서울 강남구 강남대로 352 2층,5.0,0,37.4872446,127.0327813
186,191,W스타일도넛 강남점,도넛,서울 강남구 테헤란로83길 46,4.6,160,37.5103824,127.0567239
187,192,던킨 강남고속터미널점,도넛,서울 서초구 신반포로 194 강남고속터미널상가 40 41호,3.0,3,37.5054942,127.006719
188,193,던킨 청담점,도넛,서울 강남구 도산대로89길 9,4.6,1,37.5252656,127.0505076
189,194,던킨 반포자이점,도넛,서울 서초구 신반포로 지하 200 강남터미널지하쇼핑상가 T-020호,2.3,0,37.5041299,127.0030692
190,195,퍼햅스 강남본점,디저트카페,서울 강남구 논현로86길 27 1층,3.2,37,37.5004463,127.039595
191,196,던킨 뉴코아강남점,도넛,서울 서초구 잠원로 69 킴스클럽 지하1층,5.0,1,0,0
192,198,비안,도넛,서울 강남구 테헤란로52길 6,0.0,0,37.50317150000001,127.0471027
193,199,크리스피크림도넛 코엑스몰점,도넛,서울 강남구 영동대로 513,2.8,13,37.5101935,127.0585824
194,200,파파도나스,도넛,서울 서초구 신반포로 176,2.6,2,37.5041299,127.0030692
195,201,던킨도너츠 교대법원점,도넛,서울 서초구 서초중앙로 142 삼하빌딩 지하 101호,3.8,3,37.4945282,127.013784
196,202,던킨 센트럴시티K점,도넛,서울 서초구 신반포로 176 센트럴시티빌딩 102호,2.9,1,37.5041299,127.0030692
197,203,노티드 압구정 갤러리아,디저트카페,서울 강남구 압구정로 343 지하1층,3.9,99,37.5284665,127.0400798
198,204,디저트39 강남테헤란로점,디저트카페,서울 강남구 테헤란로4길 6 강남역센트럴푸르지오시티 1층 117호,3.4,8,37.4965345,127.0302544
199,205,피르마 신세계백화점강남점,도넛,서울 서초구 신반포로 176 지하1층,4.0,3,37.5041299,127.0030692
200,206,던킨 현대아이파크타워점,도넛,서울 강남구 영동대로 520 아이파크타워 1층,5.0,1,37.513696,127.0610812
201,207,생활맥주 강남역점,호프 | 요리주점,서울 강남구 강남대로78길 18 1층,4.3,45,37.4949903,127.0308632
202,209,생활맥주 압구정로데오점,호프 | 요리주점,서울 강남구 압구정로50길 5-12,1.7,25,37.5275573,127.0392973
203,210,생활맥주 테헤란로점,호프 | 요리주점,서울 강남구 선릉로93길 27,0.0,15,37.5045113,127.0465394
204,211,쎄콩데&도티도넛,도넛,서울 서초구 신반포로 176 신세계백화점 지하1층,0.0,5,37.5041299,127.0030692
205,212,생활맥주 선릉역점,호프 | 요리주점,서울 강남구 선릉로82길 19 1층,1.8,19,37.5028998,127.0516279
206,213,비비드,도넛,서울 강남구 테헤란로 517 현대백화점 지하1층,0.0,8,37.5086154,127.0597808
207,214,생활맥주 삼성코엑스점,호프 | 요리주점,서울 강남구 삼성로104길 18 1층,3.3,17,37.5109669,127.0562369
208,215,프랑세즈과자점,제과 | 베이커리,서울 서초구 서초중앙로24길 43,4.3,16,37.4962524,127.0182815
209,218,삼순이호두파이,제과 | 베이커리,서울 서초구 서초중앙로 188 아크로비스타 아케이드 B1 303호,3.8,12,37.498912,127.0128599
210,219,모찌모찌브레드 역삼점,제과 | 베이커리,서울 강남구 언주로 314 강남프라자 1층 108호,4.4,7,37.516542,127.038354
211,220,경성꽈배기 선릉점,제과 | 베이커리,서울 강남구 선릉로 402 1층 101호,3.3,1,37.5007656,127.0510012
212,222,경성꽈배기 교대역점,제과 | 베이커리,서울 서초구 서초대로 334,5.0,7,37.4946702,127.0182785
213,223,단골많은꽈배기,제과 | 베이커리,서울 강남구 봉은사로 474 상가 1층,3.0,1,37.5122834,127.0517546
214,224,송사부수제쌀고로케 NC강남점,제과 | 베이커리,서울 서초구 잠원로 51 지하1층,1.0,3,37.509517,127.0073082
215,225,생활맥주 한티역점,호프 | 요리주점,서울 강남구 선릉로64길 9 2층,4.2,10,37.4979419,127.0530488
216,226,프로틴퀸u 역삼,제과 | 베이커리,서울 강남구 역삼로 310 한솔필리아 1층 62 74 75호,0.0,3,37.4991554,127.0483257
217,227,더메나쥬리 신세계강남점,제과 | 베이커리,서울 서초구 신반포로 176 지하1층,3.8,6,37.5041299,127.0030692
218,228,생활맥주 대치포스코점,호프 | 요리주점,서울 강남구 삼성로85길 11,4.0,8,37.5046812,127.056471
219,229,노티드 강남 신세계,디저트카페,서울 서초구 신반포로 176 지하1층,3.0,9,37.5041299,127.0030692
220,230,경성찹쌀꽈배기 삼성점,간식,서울 강남구 삼성로 520 1층,4.4,3,37.5086584,127.0559006
221,231,자미당 대치점,제과 | 베이커리,서울 강남구 선릉로68길 11,4.2,5,37.4991583,127.0527168
222,232,디저트39 대치점,디저트카페,서울 강남구 선릉로64길 28 1층 1호,2.8,9,37.4982026,127.0545519
223,233,경성꽈배기 한티역점,간식,서울 강남구 선릉로 320 성진빌딩1층,3.0,1,37.482491,127.0619082
224,234,디저트39 교대점,디저트카페,서울 서초구 서초중앙로 116 성재빌딩,3.0,13,37.4920446,127.0142737
225,235,생활맥주 교대1호점,호프 | 요리주점,서울 서초구 서초중앙로 125 1층,0.0,24,37.4929717,127.0134121
226,236,노티드 삼성,디저트카페,서울 강남구 테헤란로103길 9 제일빌딩 1층,3.7,1183,37.5100113,127.0638805
227,237,디저트39 삼성점(오픈예정),디저트카페,서울 강남구 테헤란로87길 57,0.0,0,37.5112492,127.0571801
228,238,씨엘드파리,제과 | 베이커리,서울 강남구 선릉로68길 7,1.0,0,37.4990269,127.0522819
229,239,버터풀앤크리멀러스 현대백화점 무역센터점,,서울 강남구 테헤란로 517 현대백화점 지하1층,0.0,6,37.5086154,127.0597808
230,240,핑크래빗메카,제과 | 베이커리,서울 강남구 테헤란로 517 현대백화점 무역센터점 지하 1층,3.0,12,37.5086154,127.0597808
231,241,디저트플래넷 파르나스몰점,디저트카페,서울 강남구 테헤란로 521 파르나스타워 지하1층 R-39호,4.0,12,37.5091322,127.0608511
232,248,콩두 철산역점,두부전문점,경기 광명시 철산로 15 1층,4.5,110,37.4763923,126.867703
233,249,가마솥밥상 철산본점,한식,경기 광명시 안양천로 459 2층,3.5,24,37.4883841,126.8695699
234,250,소들녘 광명점,갈비,경기 광명시 오리로876번길 6,2.5,149,37.4763341,126.8659549
235,251,한본삼계탕 철산본점,삼계탕,경기 광명시 오리로854번길 16-15 2층,3.7,162,37.4743485,126.8692737
236,252,스너그로스터리,커피전문점,경기 광명시 시청로 50 상가A동 AA123호,4.1,46,37.4845027,126.8658217
237,253,라라코스트 광명철산점,패밀리레스토랑,경기 광명시 철산로 12 로데오빌딩 2층 1호,3.3,29,37.4755242,126.8675624
